Aalsmeer,52.26,4.76
Aalten,51.92,6.58
Abbenbroek,51.84,4.24
Alblasserdam,51.86,4.66
Alkmaar,52.63,4.75
Almelo,52.35,6.65
Almere,52.38,5.23
Alphen aan den Rijn,52.13,4.65
Alphen,51.48,4.95
Amersfoort,52.15,5.38
Amstelveen,52.31,4.87
Amsterdam,52.35,4.91
Anna Paulowna,52.86,4.86
Apeldoorn,52.21,5.96
Appingedam,53.32,6.84
Arnhem,51.97,5.92
Asperen,51.88,5.10
Assen,52.99,6.56
Asten,51.40,5.74
Baarle-Nassau,51.44,4.92
Baarn,52.21,5.29
Balk,52.89,5.58
Ballum,53.44,5.68
Barendrecht,51.85,4.53
Barneveld,52.14,5.58
Bedum,53.29,6.60
Beek en Donk,51.51,5.63
Beek-Ubbergen,51.82,5.93
Beek,50.93,5.79
Beetsterzwaag,53.06,6.07
Beilen,52.86,6.51
Bemmel,51.89,5.89
Beneden-Leeuwen,51.87,5.51
Bergambacht,51.93,4.78
Bergeijk,51.31,5.35
Bergen op Zoom,51.49,4.28
Bergen,51.60,6.03
Bergschenhoek,51.98,4.51
Best,51.50,5.39
Beuningen,51.85,5.76
Beverwijk,52.49,4.65
Bilthoven,52.13,5.19
Bladel,51.36,5.21
Blaricum,52.27,5.24
Bleskensgraaf,51.87,4.78
Bodegraven,52.08,4.75
Boekel,51.60,5.67
Borculo,52.11,6.52
Borne,52.30,6.74
Boskoop,52.06,4.66
Bovenkarspel,52.69,5.25
Boxmeer,51.64,5.96
Boxtel,51.59,5.32
Breda,51.56,4.8
Brielle,51.90,4.17
Brummen,52.08,6.15
Brunssum,50.95,5.96
Budel,51.27,5.57
Buitenpost,53.25,6.15
Bunschoten-Spakenburg,52.24,5.37
Burgum,53.19,5.99
Bussum,52.26,5.17
Capelle aan den IJssel,51.92,4.57
Castricum,52.54,4.67
Coevorden,52.66,6.74
Cuijk,51.72,5.88
Culemborg,51.95,5.23
Dalfsen,52.51,6.25
Damwâld,53.28,5.99
De Goorn,52.62,4.94
De Rijp,52.55,4.84
De Steeg,52.01,6.06
Delft,52.01,4.37
Delfzijl,53.33,6.92
